id	text	label
101	If you are into sours they put out some decent stuff, but anything outside of that is completely forgettable and average.	neutral
102	Yet another clown whining about discussions about bitcoin in a bitcoin sub.	neutral
103	"Three words, no subtlety. ""Dude. Stop. Seriously."" "	annoyance
104	Wow. I just read the synopsis, and that’s really what happens. 	surprise
105	Wow, that landlady sure is a piece of shit. I'd be interested in knowing how many people she has discriminated against or harassed in the past.	curiosity
106	I KILL YOU SCUM	anger
107	It’s way too broken, anyone and their dog can use it.	neutral
108	Yeah, I am! I'll private message you a link to my profile. Thank you.	gratitude
109	*curb your enthusiasm theme intensifies*	neutral
110	youre a disgusting piece of filth.	disgust
111	By the way the dogs also alerted at kuss road but will just ignore that much like [NAME] did lol ciao	neutral
112	This is sort of wholesome in a weird way	neutral
113	Just an employee, just stressed that it takes so long to save 10k for example and even that is nothing ! Should of brought more bitcoins	disappointment
114	I don't think aspergers causes me distress or anxiety. I think having to live in a society that privileges neurotypical modes of interaction causes me distress and anxiety	realization
115	Looks like my greyhounds feet	neutral
116	You told me it was pointless to point it out. You're the idiot	anger
117	Yeah let's wrap up AS4 I'm suddenly so much more excited for S11	excitement
118	He left the bench and is back in the locker room with the medical staff	neutral
119	Deluxe always need ingest people, there's also fairly regular openings for media operators.	neutral
120	Honestly, same. I was miserable at my admin asst job.	disappointment
121	Glad to see Hearts fans giving [NAME] such a warm welcome back..	gratitude
122	Glad you feel better! My offer still stands though, if you need someone, I’m here	relief
123	Lmao Stole my joke! 😂	amusement
124	Welcome to the party pal!	gratitude
125	Can he teach them to run really really fast?	neutral
126	Please enlighten us, O oracle. This should be rich...	neutral
127	[NAME] was one of the only good things in that season	admiration
128	Your coaching is terrible.... be ready and see how [NAME] uses [NAME]	fear
129	I adore this comment section <3	love
130	How did you try it if it's not live yet? There was no early access to it	neutral
131	No deagle nerf/vault, good patch but could be way better	neutral
132	Stop master debating, you are making a fool out of yourself. It's concerning.	annoyance
133	I think it depends on how many people are awake and passing by at the time of the posting.	neutral
134	as long as the tracking shows delivered, it's not your responsibility what happens to it after that	caring
135	[NAME] got in before [NAME], but other than that...	neutral
136	My stylist is a fit, handsome guy with big, sexy hands. Can't say I don't like it when he tousles my hair.	admiration
137	You are giving them human emotions. If you spent any time with cattle at all you would realize how silly that is.	neutral
138	"He may have, I was more worried about the ""running and shooting the AR one handed, off to the side""."	fear
139	horse meat is fucking peng i love it. why is it ok for a cow to be slaughtered for food but not a horse? ridiculous double standards	love
140	Where’s Sharpton now?	neutral
141	good luck buddy	optimism
142	it really do be like that sometimes	neutral
143	Define woman please if you're not going to use the accepted denotation.	neutral
