id	label	error	predict
101	neutral	0	disapproval
102	neutral	0	annoyance
103	annoyance	0	anger
104	surprise	0	surprise
105	curiosity	0	anger
106	anger	0	anger
107	neutral	0	disapproval
108	gratitude	0	neutral
109	neutral	0	amusement
110	disgust	0	disgust
111	neutral	0	amusement
112	neutral	0	amusement
113	disappointment	0	disappointment
114	realization	0	disappointment
115	neutral	0	neutral
116	anger	0	anger
117	excitement	0	excitement
118	neutral	0	neutral
119	neutral	0	neutral
120	disappointment	0	sadness
121	gratitude	0	joy
122	relief	0	caring
123	amusement	0	amusement
124	gratitude	0	joy
125	neutral	0	curiosity
126	neutral	0	curiosity
127	admiration	0	gratitude
128	fear	0	disapproval
129	love	0	love
130	neutral	0	confusion
131	neutral	0	disappointment
132	annoyance	0	disapproval
133	neutral	0	curiosity
134	caring	0	disapproval
135	neutral	0	neutral
136	admiration	0	desire
137	neutral	0	disapproval
138	fear	0	fear
139	love	0	anger
140	neutral	0	curiosity
141	optimism	0	caring
142	neutral	0	neutral
143	neutral	0	confusion
144	admiration	0	admiration
145	neutral	0	disgust
146	admiration	0	admiration
147	joy	0	approval
148	neutral	0	neutral
149	surprise	0	amusement
150	curiosity	0	curiosity
151	gratitude	0	optimism
152	admiration	0	approval
153	disapproval	0	anger
154	neutral	0	neutral
155	joy	0	excitement
156	neutral	0	anger
157	curiosity	0	curiosity
158	approval	1	
159	anger	0	annoyance
160	annoyance	0	disapproval
161	approval	0	disapproval
162	neutral	0	admiration
163	neutral	0	amusement
164	disgust	0	neutral
165	neutral	0	amusement
166	love	0	confusion
167	neutral	0	neutral
168	curiosity	0	curiosity
169	curiosity	0	confusion
170	joy	0	admiration
171	neutral	0	neutral
172	gratitude	0	curiosity
173	admiration	0	approval
174	neutral	0	annoyance
175	approval	0	approval
176	love	0	approval
177	neutral	0	amusement
178	confusion	0	curiosity
179	neutral	0	neutral
180	neutral	0	approval
181	surprise	0	surprise
182	neutral	0	disapproval
183	sadness	0	disapproval
184	admiration	0	approval
185	sadness	0	disappointment
186	admiration	1	
187	optimism	0	disapproval
188	curiosity	0	disapproval
189	neutral	0	disapproval
190	neutral	0	amusement
191	neutral	0	confusion
192	joy	0	amusement
193	neutral	0	neutral
194	disgust	0	disappointment
195	neutral	0	disgust
196	approval	0	neutral
197	neutral	0	disgust
198	confusion	0	confusion
199	disapproval	0	disapproval
200	confusion	0	confusion
201	curiosity	0	confusion
202	neutral	0	disapproval
203	neutral	0	anger
204	approval	0	anger
205	approval	0	curiosity
206	neutral	0	neutral
207	amusement	0	amusement
208	admiration	0	amusement
209	neutral	0	confusion
210	sadness	0	sadness
211	disapproval	0	disapproval
212	neutral	0	amusement
213	neutral	0	curiosity
214	curiosity	0	neutral
215	amusement	0	amusement
216	annoyance	0	anger
217	sadness	0	disappointment
218	caring	0	fear
219	neutral	0	surprise
220	neutral	0	confusion
221	neutral	0	disapproval
222	disappointment	0	disapproval
223	amusement	0	embarrassment
224	love	0	joy
225	amusement	0	amusement
226	neutral	0	annoyance
227	neutral	0	neutral
228	gratitude	0	anger
229	neutral	0	neutral
230	annoyance	0	disapproval
231	gratitude	0	relief
232	disgust	0	disgust
233	disappointment	0	neutral
234	surprise	0	anger
235	disappointment	0	disappointment
236	neutral	0	neutral
237	gratitude	0	gratitude
238	neutral	0	amusement
239	neutral	0	disapproval
240	gratitude	0	gratitude
241	approval	0	joy
242	neutral	0	love
243	curiosity	0	anger
244	confusion	0	curiosity
245	approval	0	optimism
246	fear	0	fear
247	neutral	0	disapproval
248	neutral	0	confusion
249	neutral	0	caring
250	disapproval	0	disapproval
251	amusement	0	amusement
252	neutral	0	neutral
253	joy	0	joy
254	pride	0	relief
255	neutral	0	confusion
256	neutral	0	anger
257	admiration	0	joy
258	optimism	0	fear
259	annoyance	0	confusion
260	disapproval	1	
261	amusement	0	amusement
262	neutral	0	anger
263	neutral	0	gratitude
264	neutral	0	curiosity
265	realization	0	annoyance
266	sadness	0	anger
267	optimism	0	anger
268	amusement	0	amusement
269	neutral	0	amusement
270	neutral	0	disappointment
271	neutral	0	sadness
272	curiosity	0	curiosity
273	neutral	0	disappointment
274	surprise	0	joy
275	annoyance	0	surprise
276	amusement	0	amusement
277	neutral	0	disappointment
278	amusement	0	amusement
279	disapproval	0	curiosity
280	gratitude	0	gratitude
281	amusement	0	joy
282	surprise	0	confusion
283	neutral	0	neutral
284	annoyance	0	anger
285	fear	0	fear
286	neutral	0	neutral
287	neutral	0	disappointment
288	neutral	0	amusement
289	neutral	0	disgust
290	annoyance	0	confusion
291	admiration	0	excitement
292	amusement	0	amusement
293	grief	0	fear
294	curiosity	0	curiosity
295	annoyance	0	disapproval
296	optimism	1	
297	disgust	0	embarrassment
298	neutral	0	disapproval
299	surprise	0	amusement
300	excitement	0	joy
