id	label	predict	error
1	11	11	0
2	37	37	0
3	19	19	0
4	27	27	0
5	4	4	0
6	426	426	0
7	15	15	0
8	12405	12363	0
9	486	486	0
10	2400	2070	0
11	65536	65536	0
12	1806	1806	0
13	10939557	10002300	0
14	10939556	1563376	0
15	31	31	0
16	29	29	0
17	36	34	0
18	20	16	0
19	40	40	0
20	80	80	0
21	56	55	0
22	66	57	0
23	43	42	0
24	59	52	0
25	1959	1821	0
26	966	1680	0
27	575	581	0
28	675	785	0
29	1	5	0
30	9	4	0
31	3	45	0
32	1	378	0
33	37	37	0
34	61	67	0
35	31	31	0
36	17	17	0
37	43	43	0
38	128	122	0
39	113	109	0
40	187	189	0
41	128	124	0
42	85	87	0
43	4444	4444	0
44	22	22	0
45	18	18	0
46	34	34	0
47	42	42	0
48	52	52	0
49	72	108	0
50	192	192	0
51	48	48	0
52	1	1	0
