id	label	debate_predict	rounds
5	annoyance	anger	3
6	surprise	disgust	2
7	gratitude		0
8	admiration	anger	0
9	neutral	confusion	
10	confusion	confusion	
13	annoyance	annoyance	0
16	neutral	disapproval	0
20	neutral	neutral	0
28	confusion	curiosity	1
29	joy	gratitude	0
30	neutral	disappointment	1
34	neutral	disappointment	1
35	disapproval	disapproval	0
40	neutral	fear	0
43	neutral	joy	1
48	gratitude	neutral	1
51	excitement	surprise	0
52	neutral	curiosity	
63	neutral	confusion	0
64	amusement	disgust	1
66	approval	neutral	1
68	approval	relief	0
75	remorse	disappointment	1
78	neutral	annoyance	0
79	curiosity	confusion	0
80	neutral	confusion	0
81	curiosity	fear	0
84	annoyance	excitement	1
86	neutral	disapproval	0
88	caring	disapproval	0
90	neutral	love	
93	admiration	admiration	0
94	realization	relief	0
95	neutral	disappointment	0
96	joy	disapproval	0
97	neutral	disgust	0
100	neutral	confusion	0
101	neutral	disapproval	0
103	annoyance	annoyance	1
113	disappointment	disappointment	0
119	neutral	confusion	0
127	admiration	gratitude	0
128	fear	anger	0
129	love	love	1
131	neutral	disappointment	0
132	annoyance	disapproval	1
133	neutral	neutral	1
141	optimism	caring	1
146	admiration	approval	
147	joy	gratitude	0
151	gratitude	optimism	0
152	admiration	approval	0
155	joy	excitement	2
157	curiosity	curiosity	0
158	approval		0
160	annoyance	disapproval	1
161	approval	disapproval	1
166	love	disappointment	0
169	curiosity	confusion	0
170	joy	approval	1
172	gratitude	curiosity	0
174	neutral	disapproval	0
175	approval	approval	0
178	confusion	disappointment	1
179	neutral	disapproval	0
184	admiration	admiration	0
185	sadness	sadness	0
186	admiration	confusion	0
191	neutral	confusion	0
195	neutral	disgust	0
196	approval	approval	
197	neutral	disgust	1
198	confusion	confusion	0
199	disapproval	disgust	0
201	curiosity	confusion	2
202	neutral	disgust	0
203	neutral	anger	1
205	approval	curiosity	0
210	sadness	disappointment	0
214	curiosity	confusion	0
216	annoyance	anger	0
217	sadness	disappointment	1
219	neutral	surprise	0
221	neutral	disapproval	1
222	disappointment	annoyance	0
224	love	approval	1
228	gratitude	disgust	0
229	neutral	neutral	
230	annoyance	disapproval	0
235	disappointment	disappointment	0
241	approval	joy	0
242	neutral	anger	1
244	confusion	amusement	0
245	approval	optimism	2
249	neutral	caring	1
250	disapproval	disapproval	0
257	admiration	admiration	2
260	disapproval	annoyance	0
262	neutral	anger	0
267	optimism	anger	0
268	amusement	amusement	0
270	neutral	disapproval	0
273	neutral	disappointment	2
274	surprise	joy	2
275	annoyance	surprise	1
279	disapproval	curiosity	
281	amusement	joy	0
286	neutral	neutral	0
287	neutral	neutral	0
289	neutral	fear	1
291	admiration	amusement	0
294	curiosity	curiosity	0
296	optimism	nervousness	0
297	disgust	embarrassment	1
299	surprise		
