id	label	predict	error
1	11	11	0
2	37	37	0
3	19	19	0
4	27	27	0
5	4	4	0
6	426	426	0
7	15	15	0
8	12405	12303	0
9	486	486	0
10	2400	2052	0
11	65536	65536	0
12	1806	1806	0
13	10939557	365423427	0
14	10939556	20465406	0
15	31	31	0
16	29	29	0
17	36	34	0
18	20	20	0
19	40	40	0
20	80	76	0
21	56	55	0
22	66	60	0
23	43	42	0
24	59	57	0
25	1959	2059	0
26	966	978	0
27	575	574	0
28	675	655	0
29	1	7	0
30	9	345	0
31	3	20	0
32	1	4	0
33	37	37	0
34	61	67	0
35	31	37	0
36	17	17	0
37	43	43	0
38	128	108	0
39	113	97	0
40	187	177	0
41	128	106	0
42	85	87	0
43	4444	4444	0
44	22	22	0
45	18	18	0
46	34	34	0
47	42	42	0
48	52	53	0
49	72	72	0
50	192	192	0
51	48	48	0
52	1	1	0
