id	label	debate_predict	rounds
5	annoyance	disgust	0
6	surprise	anger	2
7	gratitude	excitement	
8	admiration	anger	0
9	neutral	confusion	
10	confusion	curiosity	
13	annoyance	annoyance	0
16	neutral	disapproval	1
20	neutral	neutral	0
28	confusion	confusion	0
29	joy	joy	0
30	neutral	disapproval	0
34	neutral	disappointment	1
35	disapproval	disapproval	0
40	neutral	fear	1
43	neutral	joy	0
48	gratitude	curiosity	0
51	excitement	surprise	0
52	neutral	curiosity	0
63	neutral	confusion	
64	amusement	anger	0
66	approval	disapproval	0
68	approval	relief	2
75	remorse	disappointment	0
78	neutral	annoyance	0
79	curiosity	confusion	0
80	neutral	confusion	1
81	curiosity	fear	0
84	annoyance	amusement	0
86	neutral	disapproval	0
88	caring	disapproval	0
90	neutral	admiration	1
93	admiration	admiration	0
94	realization	relief	0
95	neutral	disappointment	
96	joy	annoyance	0
97	neutral	disgust	0
100	neutral	confusion	0
101	neutral	disapproval	0
103	annoyance	anger	0
113	disappointment	disappointment	0
119	neutral	confusion	0
127	admiration	gratitude	0
128	fear	anger	0
129	love	love	1
131	neutral	disappointment	0
132	annoyance	disapproval	1
133	neutral	neutral	0
141	optimism	caring	1
146	admiration	approval	
147	joy	joy	0
151	gratitude	optimism	0
152	admiration	approval	3
155	joy	excitement	2
157	curiosity	curiosity	0
158	approval		0
160	annoyance	anger	0
161	approval	disapproval	0
166	love	disappointment	0
169	curiosity	confusion	0
170	joy	admiration	0
172	gratitude	curiosity	0
174	neutral	disappointment	3
175	approval	approval	0
178	confusion	confusion	
179	neutral	disapproval	
184	admiration	admiration	3
185	sadness	sadness	0
186	admiration	curiosity	2
191	neutral	confusion	0
195	neutral	disgust	0
196	approval	optimism	1
197	neutral	disgust	0
198	confusion	confusion	0
199	disapproval	disgust	0
201	curiosity	curiosity	0
202	neutral	disgust	0
203	neutral	anger	0
205	approval	curiosity	0
210	sadness	disappointment	1
214	curiosity	disapproval	
216	annoyance	anger	
217	sadness	sadness	0
219	neutral	surprise	0
221	neutral	disapproval	0
222	disappointment	annoyance	0
224	love	admiration	1
228	gratitude	disgust	0
229	neutral	confusion	0
230	annoyance	disapproval	0
235	disappointment	disappointment	0
241	approval	joy	0
242	neutral	anger	1
244	confusion	amusement	0
245	approval	optimism	3
249	neutral	disappointment	2
250	disapproval	disapproval	0
257	admiration	admiration	2
260	disapproval	annoyance	0
262	neutral	disapproval	0
267	optimism	amusement	0
268	amusement	amusement	0
270	neutral	disapproval	0
273	neutral	disappointment	2
274	surprise	surprise	0
275	annoyance	surprise	1
279	disapproval	curiosity	
281	amusement	joy	0
286	neutral	neutral	1
287	neutral	neutral	1
289	neutral	confusion	
291	admiration	amusement	0
294	curiosity	curiosity	0
296	optimism	nervousness	0
297	disgust	confusion	1
299	surprise	disapproval	2
