id	label	error	predict
1	sadness	0	anger
2	sadness	0	love
3	anger	0	sadness
4	love	0	sadness
5	anger	0	anger
6	sadness	0	sadness
7	surprise	0	surprise
8	fear	0	sadness
9	joy	0	joy
10	love	0	love
11	sadness	0	sadness
12	joy	0	joy
13	anger	0	sadness
14	sadness	0	sadness
15	joy	0	sadness
16	joy	0	fear
17	sadness	0	surprise
18	sadness	0	sadness
19	sadness	0	love
20	fear	0	sadness
21	anger	0	anger
22	fear	0	sadness
23	joy	0	joy
24	joy	0	joy
25	anger	0	sadness
26	sadness	0	sadness
27	sadness	0	sadness
28	sadness	0	sadness
29	anger	0	anger
30	joy	0	anger
31	joy	0	joy
32	fear	0	sadness
33	surprise	0	joy
34	anger	0	anger
35	joy	0	sadness
36	joy	0	sadness
37	joy	0	joy
38	joy	0	sadness
39	anger	0	sadness
40	joy	0	fear
41	joy	0	joy
42	joy	0	joy
43	joy	0	love
44	joy	0	anger
45	sadness	0	sadness
46	sadness	0	sadness
47	joy	0	sadness
48	love	0	sadness
49	joy	0	joy
50	anger	0	surprise
51	joy	0	joy
52	sadness	0	sadness
53	anger	0	sadness
54	fear	0	fear
55	joy	0	joy
56	sadness	0	sadness
57	sadness	0	anger
58	surprise	0	surprise
59	joy	0	fear
60	joy	0	love
61	joy	0	sadness
62	love	0	joy
63	fear	0	sadness
64	fear	0	fear
65	surprise	0	joy
66	anger	0	sadness
67	anger	0	sadness
68	sadness	0	fear
69	love	0	sadness
70	joy	0	joy
71	sadness	0	sadness
72	sadness	0	anger
73	joy	0	love
74	sadness	0	sadness
75	sadness	0	sadness
76	sadness	0	anger
77	joy	0	joy
78	joy	0	love
79	joy	0	love
80	anger	0	anger
81	sadness	0	sadness
82	anger	0	fear
83	anger	0	surprise
84	anger	0	anger
85	joy	0	joy
86	joy	0	joy
87	joy	0	joy
88	joy	0	love
89	sadness	0	sadness
90	fear	0	fear
91	love	0	love
92	anger	0	sadness
93	sadness	0	sadness
94	anger	0	sadness
95	love	0	love
96	sadness	0	anger
97	joy	0	joy
98	joy	0	love
99	sadness	0	anger
100	anger	0	sadness
