id	label	debate_predict	rounds
2	neutral	sadness	0
4	fear	fear	0
6	surprise	anger	0
7	gratitude	nervousness	3
8	admiration	anger	0
9	neutral	curiosity	0
10	confusion	curiosity	0
11	neutral	neutral	0
13	annoyance	annoyance	0
16	neutral	disgust	0
19	neutral	neutral	0
20	neutral	neutral	2
22	neutral	amusement	0
24	neutral	sadness	0
28	confusion	confusion	2
29	joy	gratitude	0
30	neutral	disapproval	0
31	admiration	neutral	1
32	sadness	curiosity	1
34	neutral		0
35	disapproval	disapproval	0
39	neutral	curiosity	0
40	neutral	fear	0
42	approval	neutral	0
43	neutral	amusement	0
45	neutral	anger	2
46	neutral		0
48	gratitude	curiosity	
51	excitement	surprise	0
52	neutral	curiosity	0
57	neutral	neutral	0
62	admiration	joy	0
63	neutral	fear	0
66	approval	neutral	
67	sadness	caring	1
69	neutral	confusion	0
70	sadness	confusion	0
75	remorse	disappointment	0
80	neutral	confusion	0
81	curiosity	fear	0
85	disapproval	disapproval	0
87	neutral	disapproval	0
88	caring	disapproval	1
90	neutral	joy	1
94	realization	realization	1
95	neutral	disappointment	1
96	joy	disapproval	0
100	neutral	confusion	0
101	neutral	disapproval	0
103	annoyance	anger	0
113	disappointment	disappointment	0
119	neutral	confusion	0
127	admiration	gratitude	0
128	fear	disapproval	1
129	love	love	1
131	neutral	disappointment	0
132	annoyance	disapproval	0
133	neutral	neutral	0
141	optimism	caring	0
146	admiration	confusion	
147	joy	gratitude	0
151	gratitude	optimism	1
152	admiration	optimism	2
155	joy	excitement	0
157	curiosity	curiosity	0
158	approval		0
160	annoyance	disapproval	1
161	approval	disapproval	1
166	love	disappointment	1
169	curiosity	confusion	0
170	joy	admiration	1
172	gratitude	curiosity	
174	neutral	disapproval	0
175	approval	approval	0
178	confusion	confusion	2
179	neutral	disapproval	1
184	admiration	admiration	0
185	sadness	sadness	0
186	admiration	confusion	0
191	neutral	confusion	0
195	neutral	disgust	0
196	approval	neutral	
197	neutral	disgust	1
198	confusion	confusion	1
199	disapproval	disapproval	0
201	curiosity	curiosity	0
202	neutral	disapproval	1
203	neutral	anger	0
205	approval	annoyance	1
210	sadness	disappointment	0
214	curiosity	annoyance	1
216	annoyance	anger	1
217	sadness	disappointment	2
219	neutral	surprise	0
221	neutral	disapproval	1
222	disappointment	disapproval	1
224	love	admiration	1
228	gratitude	disapproval	1
229	neutral	confusion	0
230	annoyance	disapproval	0
235	disappointment	disappointment	0
241	approval	joy	0
242	neutral	anger	1
244	confusion	amusement	0
245	approval	excitement	2
249	neutral	disapproval	0
250	disapproval	disapproval	1
257	admiration	approval	0
260	disapproval	annoyance	0
262	neutral	disapproval	0
267	optimism	amusement	1
268	amusement	amusement	
270	neutral	disapproval	2
273	neutral	disappointment	1
274	surprise	surprise	0
275	annoyance	surprise	0
279	disapproval	curiosity	3
281	amusement	joy	0
286	neutral	curiosity	
287	neutral	confusion	
289	neutral	fear	1
291	admiration	amusement	0
294	curiosity	curiosity	0
296	optimism	nervousness	0
297	disgust	embarrassment	0
299	surprise	annoyance	1
