id	label	predict1	explanation1	error1
eeaf7fg	4,11	[5, 11]	The expressions suggest a sense of approval for [NAME]'s decision not to cross into the Dark Side, indicating a favorable opinion of his restraint. Additionally, there may be an underlying disapproval of the actions associated with the Dark Side, reflecting an unfavorable opinion towards those actions.	0
ee3yyz3	2,19	[2, 19]	The text expresses love (emotion id 19) for someone's last name, indicating a strong positive emotion of regard and affection. The use of 'Lol' and 'XD' suggests amusement (emotion id 2) as it conveys laughter or entertainment related to the context.	0
eeccgbb	1,8	[1, 9]	The emotions expressed in the text include 'admiration' for the person's recovery from addiction, which is highlighted by the phrase 'It's great that you're a recovering addict.' Additionally, there is a sense of 'curiosity' with the question posed about DMT, indicating a strong desire to know more about their experiences.	0
eezp1cd	26,28	[3, 10, 27]	The text expresses strong discomfort which can be associated with 'anger' due to frustration about the situation. There's also a sense of 'disappointment' related to the potential outcome of having an injury ('it's broke'), and a feeling of 'sadness' may be implied due to the distress associated with pain and the foreboding of bad news about one's health.	0
ednoz16	7,28	[3, 9, 11]	The text expresses disapproval (11) of the idea that Vegan Gains could have been juicing at such a young age, indicating a strong feeling of displeasure and skepticism regarding that claim. There is also an underlying anger (3) that might come from questioning the honesty or integrity of Vegan Gains’ past actions. Additionally, there is a desire (9) for truth or clarity regarding the context of his experience.	0
edlolx7	1,19	[19]	The text expresses love towards the person mentioned, indicated by the phrase 'I love him so dearly.' This represents a strong positive emotion of regard and affection, which corresponds to the emotion of 'love' with id 19.	0
ee3lt53	5,28			1
eewl3mr	1,2	[2, 5]	The text expresses amusement with the use of 'lol' and shares a favorable opinion of the 'mr. blue sky' cover, indicating approval.	0
ef0puf0	18,27	[18, 28]	The text expresses feelings of surprise (lab ID 28) about an unexpected turn of events and joy (label ID 18) in response to hearing good things about someone.	0
ee91vnl	4,11	[3, 4]	The text expresses a strong sense of displeasure and irritation towards the person's behavior, indicating feelings of anger and annoyance.	0
eezyizq	11,28	[9]	The statement expresses a strong feeling of wanting something to happen—specifically, the desire to not send Grandma back to Italy. Therefore, the emotion identified is 'desire'.	0
edu78sc	15,28	[7, 15, 28]	The text expresses fear (id 15) regarding the idea of something living inside a casket, indicating a worry or anxiety about that situation. There is also confusion (id 7) suggested by the phrase 'like, *weet doo feek?!*' which implies a lack of understanding or uncertainty about the statement. Lastly, the reaction could suggest surprise (id 28) at the unexpected nature of the expression or thought.	0
ef8a2jr	7,21	[1, 8, 10, 21]	The text expresses optimism (21) about the potential of receiving actual designs for the crusaders, which implies a hopeful outlook. There is also a hint of disappointment (10) regarding the concern about being mocked, suggesting the potential for unmet expectations. Additionally, admiration (1) can be inferred regarding the idea of great designs, implying respect for the creators. Lastly, there's curiosity (8) about what these designs might entail.	0
edv9e8a	1,2	[2, 9]	The expression 'Lol' indicates amusement as it suggests finding something funny or entertaining. The phrase 'looks delicious' conveys a desire for the food being described, highlighting a strong feeling of wanting to taste it.	0
