id	label	debate_predict	rounds
1	neutral	amusement	0
2	neutral	sadness	3
3	anger	anger	0
4	fear	fear	0
5	annoyance	anger	0
6	surprise	disapproval	2
7	gratitude		0
8	admiration	annoyance	3
9	neutral	confusion	2
10	confusion	confusion	0
11	neutral	neutral	0
12	caring	curiosity	
13	annoyance	anger	2
14	gratitude	gratitude	0
15	anger	anger	0
16	neutral	disapproval	1
17	embarrassment	embarrassment	0
18	neutral	neutral	0
19	neutral	neutral	0
20	neutral	neutral	0
21	anger	annoyance	0
22	neutral	joy	2
23	gratitude	gratitude	0
24	neutral	disappointment	1
25	anger	anger	0
26	confusion	confusion	0
27	neutral	anger	0
28	confusion	curiosity	2
29	joy	joy	0
30	neutral	disappointment	3
31	admiration	neutral	0
32	sadness	fear	2
33	neutral	relief	3
34	neutral	disappointment	3
35	disapproval	disapproval	0
36	optimism	disappointment	0
37	neutral	anger	3
38	neutral	amusement	0
39	neutral	curiosity	0
40	neutral	fear	0
41	neutral	anger	0
42	approval	neutral	0
43	neutral	joy	0
44	disapproval	disapproval	0
45	neutral	disapproval	0
46	neutral		0
47	neutral	confusion	0
48	gratitude	neutral	0
49	embarrassment	embarrassment	0
50	neutral	curiosity	0
51	excitement	surprise	0
52	neutral	neutral	2
53	neutral	confusion	0
54	amusement	amusement	0
55	neutral	curiosity	0
56	admiration	amusement	0
57	neutral	neutral	0
58	annoyance	anger	0
59	neutral	amusement	0
60	neutral	neutral	0
61	neutral	disapproval	0
62	admiration	joy	3
63	neutral	neutral	0
64	amusement	disgust	0
65	excitement	disapproval	0
66	approval	neutral	0
67	sadness		0
68	approval	relief	0
69	neutral	confusion	0
70	sadness	confusion	2
71	disappointment	disapproval	0
72	neutral	fear	0
73	approval	anger	0
74	neutral	amusement	0
75	remorse	disapproval	
76	love	curiosity	0
77	approval	curiosity	0
78	neutral	annoyance	0
79	curiosity	confusion	0
80	neutral	confusion	2
81	curiosity	fear	0
82	neutral	disappointment	2
83	admiration	admiration	0
84	annoyance	amusement	0
85	disapproval	disapproval	0
86	neutral	disapproval	1
87	neutral	disapproval	2
88	caring	disapproval	0
89	neutral	confusion	0
90	neutral	joy	0
91	gratitude	curiosity	0
92	neutral	confusion	0
93	admiration	admiration	2
94	realization	realization	2
95	neutral	disappointment	
96	joy	annoyance	3
97	neutral	embarrassment	3
98	anger	confusion	1
99	anger	anger	0
100	neutral	confusion	0
