id	label	predict
1	11	11
2	37	37
3	19	19
4	27	27
5	4	4
6	426	426
7	15	15
8	12405	12357
9	486	486
10	2400	2208
11	65536	65536
12	1806	1806
13	10939557	108999999
14	10939556	1091222
15	31	31
16	29	29
17	36	34
18	20	16
19	40	40
20	80	
21	56	55
22	66	57
23	43	40
24	59	
25	1959	
26	966	1104
27	575	582
28	675	
29	1	1
30	9	4
31	3	1
32	1	4
33	37	37
34	61	67
35	31	31
36	17	17
37	43	43
38	128	122
39	113	
40	187	
41	128	122
42	85	
43	4444	4444
44	22	22
45	18	18
46	34	34
47	42	42
48	52	52
49	72	108
50	192	192
51	48	48
52	1	1
