id	label	error	predict
1	11	0	11
2	37	0	37
3	19	0	19
4	27	0	27
5	4	0	4
6	426	0	426
7	15	0	15
8	12405	0	12413
9	486	0	486
10	2400	0	2040
11	65536	0	65536
12	1806	0	1806
13	10939557	0	1103381127
14	10939556	0	1090506
15	31	0	31
16	29	0	29
17	36	0	34
18	20	0	16
19	40	0	40
20	80	0	80
21	56	0	55
22	66	0	57
23	43	0	42
24	59	0	68
25	1959	0	1875
26	966	0	1066
27	575	0	583
28	675	0	650
29	1	0	5
30	9	0	4
31	3	0	1
32	1	0	4
33	37	0	37
34	61	0	67
35	31	0	31
36	17	0	17
37	43	0	43
38	128	0	124
39	113	0	109
40	187	0	183
41	128	0	124
42	85	0	89
43	4444	0	4444
44	22	0	22
45	18	0	18
46	34	0	34
47	42	0	42
48	52	0	52
49	72	0	108
50	192	0	192
51	48	0	48
52	1	0	1
