id	label	predict	error
1	sadness	sadness	0
2	sadness	joy	0
3	anger		1
4	love	sadness	0
5	anger		1
6	sadness	sadness	0
7	surprise	surprise	0
8	fear	sadness	0
9	joy	joy	0
10	love	love	0
11	sadness	sadness	0
12	joy	joy	0
13	anger	sadness	0
14	sadness	sadness	0
15	joy	sadness	0
16	joy	fear	0
17	sadness	surprise	0
18	sadness	sadness	0
19	sadness	joy	0
20	fear	sadness	0
21	anger	anger	0
22	fear	sadness	0
23	joy	joy	0
24	joy	joy	0
25	anger	sadness	0
26	sadness	love	0
27	sadness	fear	0
28	sadness	sadness	0
29	anger	anger	0
30	joy	anger	0
31	joy	joy	0
32	fear	sadness	0
33	surprise	joy	0
34	anger	anger	0
35	joy	sadness	0
36	joy	sadness	0
37	joy	joy	0
38	joy	fear	0
39	anger	sadness	0
40	joy	fear	0
41	joy	joy	0
42	joy	joy	0
43	joy	joy	0
44	joy	anger	0
45	sadness	sadness	0
46	sadness	sadness	0
47	joy	sadness	0
48	love	sadness	0
49	joy	joy	0
50	anger	surprise	0
51	joy	joy	0
52	sadness	sadness	0
53	anger	sadness	0
54	fear	fear	0
55	joy	love	0
56	sadness	sadness	0
57	sadness	anger	0
58	surprise	surprise	0
59	joy	fear	0
60	joy	love	0
61	joy	fear	0
62	love	joy	0
63	fear	anger	0
64	fear	fear	0
65	surprise	joy	0
66	anger	sadness	0
67	anger	sadness	0
68	sadness	fear	0
69	love	sadness	0
70	joy	joy	0
71	sadness	love	0
72	sadness	anger	0
73	joy		1
74	sadness	sadness	0
75	sadness	sadness	0
76	sadness	anger	0
77	joy	joy	0
78	joy	love	0
79	joy	love	0
80	anger	anger	0
81	sadness	sadness	0
82	anger	fear	0
83	anger	surprise	0
84	anger	anger	0
85	joy	joy	0
86	joy	joy	0
87	joy	joy	0
88	joy	joy	0
89	sadness	sadness	0
90	fear	fear	0
91	love	love	0
92	anger	sadness	0
93	sadness	sadness	0
94	anger	sadness	0
95	love	love	0
96	sadness	anger	0
97	joy	joy	0
98	joy	love	0
99	sadness	anger	0
100	anger	joy	0
