id	label	predict	error
1	neutral	amusement	0
2	neutral	confusion	0
3	anger	anger	0
4	fear	anger	0
5	annoyance	anger	0
6	surprise	annoyance	0
7	gratitude	nervousness	0
8	admiration	anger	0
9	neutral	neutral	0
10	confusion	confusion	0
11	neutral	neutral	0
12	caring	caring	0
13	annoyance	anger	0
14	gratitude	gratitude	0
15	anger	anger	0
16	neutral	disapproval	0
17	embarrassment	embarrassment	0
18	neutral	neutral	0
19	neutral	neutral	0
20	neutral	neutral	0
21	anger	annoyance	0
22	neutral	amusement	0
23	gratitude	gratitude	0
24	neutral	confusion	0
25	anger	anger	0
26	confusion	confusion	0
27	neutral	anger	0
28	confusion	confusion	0
29	joy	neutral	0
30	neutral	disapproval	0
31	admiration	neutral	0
32	sadness	curiosity	0
33	neutral	neutral	0
34	neutral	neutral	0
35	disapproval	disapproval	0
36	optimism	desire	0
37	neutral	anger	0
38	neutral	amusement	0
39	neutral	curiosity	0
40	neutral	amusement	0
41	neutral	anger	0
42	approval	neutral	0
43	neutral	neutral	0
44	disapproval	disapproval	0
45	neutral	anger	0
46	neutral	anger	0
47	neutral	confusion	0
48	gratitude	neutral	0
49	embarrassment	embarrassment	0
50	neutral	curiosity	0
51	excitement	surprise	0
52	neutral	neutral	0
53	neutral	confusion	0
54	amusement	amusement	0
55	neutral	curiosity	0
56	admiration		1
57	neutral	neutral	0
58	annoyance	anger	0
59	neutral	amusement	0
60	neutral	neutral	0
61	neutral	disapproval	0
62	admiration	joy	0
63	neutral	neutral	0
64	amusement	disgust	0
65	excitement	anger	0
66	approval	neutral	0
67	sadness	caring	0
68	approval	optimism	0
69	neutral	neutral	0
70	sadness	confusion	0
71	disappointment	disapproval	0
72	neutral	anger	0
73	approval	anger	0
74	neutral	amusement	0
75	remorse	disapproval	0
76	love		1
77	approval	curiosity	0
78	neutral	annoyance	0
79	curiosity	curiosity	0
80	neutral	neutral	0
81	curiosity	confusion	0
82	neutral	disappointment	0
83	admiration	admiration	0
84	annoyance	amusement	0
85	disapproval	disapproval	0
86	neutral	disapproval	0
87	neutral	neutral	0
88	caring	disapproval	0
89	neutral	confusion	0
90	neutral	admiration	0
91	gratitude	confusion	0
92	neutral	confusion	0
93	admiration	admiration	0
94	realization	realization	0
95	neutral	neutral	0
96	joy	annoyance	0
97	neutral	amusement	0
98	anger	confusion	0
99	anger	anger	0
100	neutral		1
