id	label	debate_predict
eeaf7fg	4,11	[11]
ee3yyz3	2,19	[2, 19]
eeccgbb	1,8	[1, 2, 8]
eezp1cd	26,28	[3, 10, 20]
ednoz16	7,28	[4, 11]
edlolx7	1,19	[4, 19]
ee3lt53	5,28	
eewl3mr	1,2	[2, 14]
ef0puf0	18,27	[18, 28]
ee91vnl	4,11	[3, 4, 11]
eezyizq	11,28	[9]
edu78sc	15,28	[7, 15, 28]
ef8a2jr	7,21	[4, 10, 21]
edv9e8a	1,2	[2, 9]
eeq65gb	6,21	[4, 9, 15, 21]
edpi4i4	11,19	[3, 19]
ee9ejps	1,23	[1, 4, 16, 18]
ee3cjuy	3,4	[3, 4, 11]
eezwk3v	8,28	[2, 4, 10]
efaangf	8,18	[4, 19]
efb2j1c	14,28	[18]
eeefyb7	6,19	[6, 19, 22]
edx9el4	4,28	[12]
edydipg	4,28	[3, 4, 10, 11, 12]
edgzi2r	18,19	[1, 18, 19]
ef8zi31	6,19,21	[6, 18, 21]
ef83od5	1,27	[1, 14]
edmv56b	8,9	[8, 19]
edec3p2	4,28	[4, 10]
ee8f04x	18,21	[5, 16, 18]
eeb38o6	4,26	[4, 10]
ednydkc	16,19	[16, 19]
eeveo5j	2,5	[2]
edlcpd2	5,16	[16]
edwn8se	6,25	[4, 10]
ef5jr6d	25,26	[10, 13, 26]
ed6sg09	23,28	[7, 8, 10, 19, 28]
edpufd4	16,23	[6, 16]
ed8ffhv	23,28	[7, 28]
efawrio	23,28	
ee4sivg	4,11,12	[3, 4, 11]
eeusl4g	4,5	[3, 4, 12]
ee1vzq2	5,28	
eezxxj1	1,18	[1, 14, 18]
ee0i9hs	3,12	[3, 4, 11, 12]
eecd9uz	23,28	[7, 8]
edw26cg	2,4	[2, 4]
ef7o72y	9,21	[4, 9, 15]
ee7cmpk	15,26	[15, 27]
