id	label	error	predict
1	sadness	0	neutral
2	sadness	0	gratitude
3	anger	1	
4	love	1	
5	anger	0	annoyance
6	sadness	0	sadness
7	surprise	0	amusement
8	fear	0	confusion
9	joy	0	pride
10	love	0	love
11	sadness	0	grief
12	joy	0	joy
13	anger	0	disappointment
14	sadness	0	sadness
15	joy	0	disappointment
16	joy	1	
17	sadness	0	neutral
18	sadness	0	sadness
19	sadness	1	
20	fear	1	
21	anger	0	annoyance
22	fear	0	gratitude
23	joy	0	amusement
24	joy	0	gratitude
25	anger	0	remorse
26	sadness	0	sadness
27	sadness	0	confusion
28	sadness	0	sadness
29	anger	0	disgust
30	joy	0	disgust
31	joy	0	joy
32	fear	0	sadness
33	surprise	0	admiration
34	anger	1	
35	joy	0	sadness
36	joy	0	confusion
37	joy	0	curiosity
38	joy	1	
39	anger	1	
40	joy	0	fear
41	joy	0	optimism
42	joy	0	excitement
43	joy	0	optimism
44	joy	0	anger
45	sadness	0	disappointment
46	sadness	0	confusion
47	joy	0	disappointment
48	love	0	sadness
49	joy	0	neutral
50	anger	0	neutral
51	joy	0	desire
52	sadness	0	disappointment
53	anger	0	remorse
54	fear	0	confusion
55	joy	0	confusion
56	sadness	0	confusion
57	sadness	0	anger
58	surprise	0	surprise
59	joy	0	fear
60	joy	0	love
61	joy	0	confusion
62	love	0	joy
63	fear	0	disgust
64	fear	0	fear
65	surprise	0	joy
66	anger	0	remorse
67	anger	0	sadness
68	sadness	1	
69	love	0	confusion
70	joy	0	joy
71	sadness	0	confusion
72	sadness	0	embarrassment
73	joy	0	neutral
74	sadness	0	confusion
75	sadness	0	disappointment
76	sadness	0	disappointment
77	joy	0	pride
78	joy	0	admiration
79	joy	0	admiration
80	anger	0	anger
81	sadness	0	sadness
82	anger	0	fear
83	anger	0	curiosity
84	anger	0	anger
85	joy	0	joy
86	joy	0	approval
87	joy	0	pride
88	joy	0	realization
89	sadness	0	sadness
90	fear	0	relief
91	love	0	love
92	anger	0	disappointment
93	sadness	0	grief
94	anger	0	relief
95	love	0	caring
96	sadness	0	anger
97	joy	0	amusement
98	joy	0	love
99	sadness	0	anger
100	anger	0	confusion
