id	text	label
1	7, 8, 9, 10	11
2	1, 10, 19, 28	37
3	7, 10, 13, 16	19
4	7, 12, 17, 22	27
5	4, 4, 4, 4	4
6	1, 6, 26, 106	426
7	7, 9, 11, 13	15
8	5, 36, 253, 1772	12405
9	6, 18, 54, 162	486
10	0, 6, 48, 342	2400
11	2, 4, 16, 256	65536
12	1, 2, 6, 42	1806
13	2, 7, 57, 3307	10939557
14	1, 6, 56, 3306	10939556
15	7, 2, 9, 11, 20	31
16	3, 4, 7, 11, 18	29
17	2, 6, 8, 14, 22	36
18	0, 4, 4, 8, 12	20
19	5, 5, 10, 15, 25	40
20	4, 8, 16, 28, 48	80
21	3, 8, 12, 21, 34	56
22	0, 9, 12, 24, 39	66
23	3, 4, 9, 15, 26	43
24	1, 0, 9, 17, 34	59
25	1, 1, 12, 67, 364	1959
26	8, 6, 40, 102, 328	966
27	4, 5, 23, 62, 194	575
28	5, 0, 5, 25, 130	675
29	91261, 19, 10	1
30	36513, 18, 9	9
31	61023, 12, 3	3
32	70966, 28, 10	1
33	19, 23, 29, 31	37
34	43, 47, 53, 59	61
35	17, 19, 23, 29	31
36	5, 7, 11, 13	17
37	29, 31, 37, 41	43
38	6, 13, 30, 61	128
39	5, 12, 25, 54	113
40	9, 20, 43, 90	187
41	6, 13, 30, 61	128
42	3, 8, 19, 42	85
43	1, 22, 333	4444
44	2, 4, 8, 14	22
45	8, 9, 11, 14	18
46	4, 7, 13, 22	34
47	2, 6, 14, 26	42
48	2, 7, 17, 32	52
49	3, 3, 6, 18	72
50	8, 8, 16, 48	192
51	2, 2, 4, 12	48
52	0, 1, 1, 0, 1, 0, 1, 0, 0, 0	1
